sample_name	metab-sample-id	age_units	anonymized_name	cage_food_consumption_g	cage_location	cage_notes	cage_number	collection_timestamp	description	diet	dob	elevation	empo_1	empo_2	empo_3	env_biome	env_feature	env_material	env_package	experiment_duration	exposure_start	exposure_type	general_notes	genotype	geo_loc_name	host_age	host_body_habitat	host_body_product	host_body_site	host_life_stage	host_scientific_name	host_subject_id	host_taxid	host_weight	latitude	longitude	mouse_notes	mouse_number	physical_specimen_location	qiita_study_id	sample_type	scientific_name	sex	taxon_id	title	weight_units	age_bin	age_match
11829.A41.166.21	A41_166_21	weeks	A41.166.21	46.9	In chamber		A41	6/12/18 11:00	Mouse 166 stool collection 21 of 21	HFD	1/22/18	193.0	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	10 weeks	4/3/18	IC		ApoE KO	USA:CA:San Diego	20.0	UBERON:feces	UBERON:feces	UBERON:feces	Adult	Mus musculus	Mouse 166	10090.0	29.7	32.842	-117.258		Mouse 166	UCSDMI	11829.0	stool	mouse gut metagenome	male	410661.0	10 week IH and IC	g	20.0	20.0
11829.A41.163.2	A41_163_2	weeks	A41.163.2	41.8	In chamber		A41	4/6/18 11:00	Mouse 163 stool collection 2 of 21	HFD	1/22/18	193.0	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	10 weeks	4/3/18	IC		ApoE KO	USA:CA:San Diego	10.5	UBERON:feces	UBERON:feces	UBERON:feces	Adult	Mus musculus	Mouse 163	10090.0	24.5	32.842	-117.258		Mouse 163	UCSDMI	11829.0	stool	mouse gut metagenome	male	410661.0	10 week IH and IC	g	12.0	10.5
11829.A35.142.21	A35_142_21	weeks	A35.142.21	54.5	On shelf		A35	6/12/18 12:00	Mouse 142 stool collection 21 of 21	Regular chow	1/22/18	193.0	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	10 weeks	4/3/18	Air		ApoE KO	USA:CA:San Diego	20.0	UBERON:feces	UBERON:feces	UBERON:feces	Adult	Mus musculus	Mouse 142	10090.0	31	32.842	-117.258		Mouse 142	UCSDMI	11829.0	stool	mouse gut metagenome	male	410661.0	10 week IH and IC	g	20.0	20.0
11829.A37.149.11	A37_149_11	weeks	A37.149.11	49.8	In chamber		A37	5/8/18 10:00	Mouse 149 stool collection 11 of 21	HFD	1/22/18	193.0	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	10 weeks	4/3/18	IH		ApoE KO	USA:CA:San Diego	15.0	UBERON:feces	UBERON:feces	UBERON:feces	Adult	Mus musculus	Mouse 149	10090.0	26.4	32.842	-117.258		Mouse 149	UCSDMI	11829.0	stool	mouse gut metagenome	male	410661.0	10 week IH and IC	g	16.0	15.0
11829.A41.165.2	A41_165_2	weeks	A41.165.2	41.8	In chamber		A41	4/6/18 11:00	Mouse 165 stool collection 2 of 21	HFD	1/22/18	193.0	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	10 weeks	4/3/18	IC		ApoE KO	USA:CA:San Diego	10.5	UBERON:feces	UBERON:feces	UBERON:feces	Adult	Mus musculus	Mouse 165	10090.0	28.5	32.842	-117.258		Mouse 165	UCSDMI	11829.0	stool	mouse gut metagenome	male	410661.0	10 week IH and IC	g	12.0	10.5
11829.A35.139.21	A35_139_21	weeks	A35.139.21	54.5	On shelf		A35	6/12/18 12:00	Mouse 139 stool collection 21 of 21	Regular chow	1/22/18	193.0	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	10 weeks	4/3/18	Air		ApoE KO	USA:CA:San Diego	20.0	UBERON:feces	UBERON:feces	UBERON:feces	Adult	Mus musculus	Mouse 139	10090.0	30.7	32.842	-117.258		Mouse 139	UCSDMI	11829.0	stool	mouse gut metagenome	male	410661.0	10 week IH and IC	g	20.0	20.0
11829.A36.144.2	A36_144_2	weeks	A36.144.2	34.4	In chamber		A36	4/6/18 10:00	Mouse 144 stool collection 2 of 21	HFD	1/22/18	193.0	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	10 weeks	4/3/18	IH		ApoE KO	USA:CA:San Diego	10.5	UBERON:feces	UBERON:feces	UBERON:feces	Adult	Mus musculus	Mouse 144	10090.0	25	32.842	-117.258		Mouse 144	UCSDMI	11829.0	stool	mouse gut metagenome	male	410661.0	10 week IH and IC	g	12.0	10.5
11829.A43.171.21	A43_171_21	weeks	A43.171.21	47.3	In chamber		A43	6/12/18 11:00	Mouse 171 stool collection 21 of 21	HFD	1/22/18	193.0	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	10 weeks	4/3/18	IC		ApoE KO	USA:CA:San Diego	20.0	UBERON:feces	UBERON:feces	UBERON:feces	Adult	Mus musculus	Mouse 171	10090.0	35.6	32.842	-117.258		Mouse 171	UCSDMI	11829.0	stool	mouse gut metagenome	male	410661.0	10 week IH and IC	g	20.0	20.0
11829.A45.180.2	A45_180_2	weeks	A45.180.2	44.2	On shelf		A45	4/6/18 11:30	Mouse 180 stool collection 2 of 21	HFD	1/22/18	193.0	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	10 weeks	4/3/08	Air		ApoE KO	USA:CA:San Diego	10.5	UBERON:feces	UBERON:feces	UBERON:feces	Adult	Mus musculus	Mouse 180	10090.0	28.1	32.842	-117.258		Mouse 180	UCSDMI	11829.0	stool	mouse gut metagenome	male	410661.0	10 week IH and IC	g	12.0	10.5
11829.A34.138.1	A34_138_1	weeks	A34.138.1	Not applicable	On shelf		A34	4/3/18 12:00	Mouse 138 baseline stool collection 1 of 21	Regular chow	1/22/18	193.0	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	10 weeks	4/3/18	Air		ApoE KO	USA:CA:San Diego	10.0	UBERON:feces	UBERON:feces	UBERON:feces	Adult	Mus musculus	Mouse 138	10090.0	25.2	32.842	-117.258	Has severe wounds on back and tail	Mouse 138	UCSDMI	11829.0	stool	mouse gut metagenome	male	410661.0	10 week IH and IC	g	12.0	10.0
11829.A38.154.11	A38_154_11	weeks	A38.154.11	47.6	In chamber		A38	5/8/18 10:00	Mouse 154 stool collection 11 of 21	HFD	1/22/18	193.0	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	10 weeks	4/3/18	IH		ApoE KO	USA:CA:San Diego	15.0	UBERON:feces	UBERON:feces	UBERON:feces	Adult	Mus musculus	Mouse 154	10090.0	28.6	32.842	-117.258		Mouse 154	UCSDMI	11829.0	stool	mouse gut metagenome	male	410661.0	10 week IH and IC	g	16.0	15.0
11829.A36.143.11	A36_143_11	weeks	A36.143.11	42.7	In chamber		A36	5/8/18 10:00	Mouse 143 stool collection 11 of 21	HFD	1/22/18	193.0	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	10 weeks	4/3/18	IH		ApoE KO	USA:CA:San Diego	15.0	UBERON:feces	UBERON:feces	UBERON:feces	Adult	Mus musculus	Mouse 143	10090.0	29.3	32.842	-117.258		Mouse 143	UCSDMI	11829.0	stool	mouse gut metagenome	male	410661.0	10 week IH and IC	g	16.0	15.0
11829.A39.156.21	A39_156_21	weeks	A39.156.21	57.1	In chamber		A39	6/12/18 10:00	Mouse 156 stool collection 21 of 21	HFD	1/22/18	193.0	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	10 weeks	4/3/18	IH		ApoE KO	USA:CA:San Diego	20.0	UBERON:feces	UBERON:feces	UBERON:feces	Adult	Mus musculus	Mouse 156	10090.0	30	32.842	-117.258		Mouse 156	UCSDMI	11829.0	stool	mouse gut metagenome	male	410661.0	10 week IH and IC	g	20.0	20.0
11829.A45.182.1	A45_182_1	weeks	A45.182.1	Not applicable	On shelf		A45	4/3/18 11:30	Mouse 182 baseline stool collection 1 of 21	HFD	1/22/18	193.0	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	10 weeks	4/3/08	Air		ApoE KO	USA:CA:San Diego	10.0	UBERON:feces	UBERON:feces	UBERON:feces	Adult	Mus musculus	Mouse 182	10090.0	27.2	32.842	-117.258		Mouse 182	UCSDMI	11829.0	stool	mouse gut metagenome	male	410661.0	10 week IH and IC	g	12.0	10.0
11829.A37.150.2	A37_150_2	weeks	A37.150.2	36.5	In chamber		A37	4/6/18 10:00	Mouse 150 stool collection 2 of 21	HFD	1/22/18	193.0	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	10 weeks	4/3/18	IH		ApoE KO	USA:CA:San Diego	10.5	UBERON:feces	UBERON:feces	UBERON:feces	Adult	Mus musculus	Mouse 150	10090.0	26.3	32.842	-117.258		Mouse 150	UCSDMI	11829.0	stool	mouse gut metagenome	male	410661.0	10 week IH and IC	g	12.0	10.5
11829.A41.165.11	A41_165_11	weeks	A41.165.11	44.4	In chamber		A41	5/8/18 11:00	Mouse 165 stool collection 11 of 21	HFD	1/22/18	193.0	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	10 weeks	4/3/18	IC		ApoE KO	USA:CA:San Diego	15.0	UBERON:feces	UBERON:feces	UBERON:feces	Adult	Mus musculus	Mouse 165	10090.0	32.5	32.842	-117.258		Mouse 165	UCSDMI	11829.0	stool	mouse gut metagenome	male	410661.0	10 week IH and IC	g	16.0	15.0
11829.A35.140.11	A35_140_11	weeks	A35.140.11	53.5	On shelf		A35	5/8/18 12:00	Mouse 140 stool collection 11 of 21	Regular chow	1/22/18	193.0	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	10 weeks	4/3/18	Air		ApoE KO	USA:CA:San Diego	15.0	UBERON:feces	UBERON:feces	UBERON:feces	Adult	Mus musculus	Mouse 140	10090.0	27.3	32.842	-117.258		Mouse 140	UCSDMI	11829.0	stool	mouse gut metagenome	male	410661.0	10 week IH and IC	g	16.0	15.0
11829.A34.138.2	A34_138_2	weeks	A34.138.2	58.7	On shelf		A34	4/6/18 12:00	Mouse 138 stool collection 2 of 21	Regular chow	1/22/18	193.0	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	10 weeks	4/3/18	Air		ApoE KO	USA:CA:San Diego	10.5	UBERON:feces	UBERON:feces	UBERON:feces	Adult	Mus musculus	Mouse 138	10090.0	26.2	32.842	-117.258		Mouse 138	UCSDMI	11829.0	stool	mouse gut metagenome	male	410661.0	10 week IH and IC	g	12.0	10.5
11829.A35.142.1	A35_142_1	weeks	A35.142.1	Not applicable	On shelf		A35	4/3/18 12:00	Mouse 142 baseline stool collection 1 of 21	Regular chow	1/22/18	193.0	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	10 weeks	4/3/18	Air		ApoE KO	USA:CA:San Diego	10.0	UBERON:feces	UBERON:feces	UBERON:feces	Adult	Mus musculus	Mouse 142	10090.0	25.9	32.842	-117.258		Mouse 142	UCSDMI	11829.0	stool	mouse gut metagenome	male	410661.0	10 week IH and IC	g	12.0	10.0
11829.A43.174.11	A43_174_11	weeks	A43.174.11	44.5	In chamber		A43	5/8/18 11:00	Mouse 174 stool collection 11 of 21	HFD	1/22/18	193.0	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	10 weeks	4/3/18	IC		ApoE KO	USA:CA:San Diego	15.0	UBERON:feces	UBERON:feces	UBERON:feces	Adult	Mus musculus	Mouse 174	10090.0	29.3	32.842	-117.258		Mouse 174	UCSDMI	11829.0	stool	mouse gut metagenome	male	410661.0	10 week IH and IC	g	16.0	15.0
11829.A41.166.11	A41_166_11	weeks	A41.166.11	44.4	In chamber		A41	5/8/18 11:00	Mouse 166 stool collection 11 of 21	HFD	1/22/18	193.0	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	10 weeks	4/3/18	IC		ApoE KO	USA:CA:San Diego	15.0	UBERON:feces	UBERON:feces	UBERON:feces	Adult	Mus musculus	Mouse 166	10090.0	27.2	32.842	-117.258		Mouse 166	UCSDMI	11829.0	stool	mouse gut metagenome	male	410661.0	10 week IH and IC	g	16.0	15.0
11829.A37.147.11	A37_147_11	weeks	A37.147.11	49.8	In chamber		A37	5/8/18 10:00	Mouse 147 stool collection 11 of 21	HFD	1/22/18	193.0	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	10 weeks	4/3/18	IH		ApoE KO	USA:CA:San Diego	15.0	UBERON:feces	UBERON:feces	UBERON:feces	Adult	Mus musculus	Mouse 147	10090.0	28.7	32.842	-117.258		Mouse 147	UCSDMI	11829.0	stool	mouse gut metagenome	male	410661.0	10 week IH and IC	g	16.0	15.0
